               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037156,            0.023085,            0.067761,                   0,                   0,                   0,                   0,                   0,           0.0037756,                   0,            0.070003,            0.003333,            0.003333
                   1,            0.028645,            0.019346,            0.059253,                   0,                   0,                   0,                   0,                   0,           0.0042302,                   0,            0.039981,           0.0066443,           0.0066443
                   2,            0.028407,            0.018941,            0.054084,                   0,                   0,                   0,                   0,                   0,           0.0039549,                   0,           0.0099374,           0.0099336,           0.0099336
                   3,            0.027708,            0.019525,            0.050677,                   0,                   0,                   0,                   0,                   0,           0.0046017,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.026633,             0.01882,             0.04754,                   0,                   0,                   0,                   0,                   0,           0.0042379,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.026221,            0.018629,            0.045504,                   0,                   0,                   0,                   0,                   0,           0.0040667,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.025857,            0.018322,            0.043673,                   0,                   0,                   0,                   0,                   0,           0.0040509,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.025596,            0.018134,            0.041853,                   0,                   0,                   0,                   0,                   0,           0.0039497,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.025507,             0.01816,            0.040753,                   0,                   0,                   0,                   0,                   0,            0.003682,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.02543,            0.017901,            0.039689,                   0,                   0,                   0,                   0,                   0,           0.0038574,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.025218,            0.017825,            0.038803,                   0,                   0,                   0,                   0,                   0,           0.0037093,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.025201,            0.017909,            0.038004,                   0,                   0,                   0,                   0,                   0,           0.0039621,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.025036,            0.017762,            0.037666,                   0,                   0,                   0,                   0,                   0,           0.0038503,                   0,            0.009637,            0.009637,            0.009637
                  13,             0.02479,            0.017794,            0.037005,                   0,                   0,                   0,                   0,                   0,           0.0038527,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.024727,            0.017456,            0.036092,                   0,                   0,                   0,                   0,                   0,           0.0039458,                   0,            0.009571,            0.009571,            0.009571
